reviewer,stars,title,review,date,country
Ernesto Costa,4,"Cool, cool (but...)","Cool, cool (but...). This is another Gladwell's cool book. I've read the all and they all are very enjoyable and fun to read. The missing star is because I found as if Mr. Gladwell is repeating himself. The collection of clever ideas and unusual data has become Mr. Gladwell's trademark. But in his previous books everything was based upon some powerful insights. According to my taste the basic premise behind Outliers is not as powerful as the other two.",2009-07-23,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Excellent!,2016-12-03,Estados Unidos
Raymond Dewar,5,Best of His Work so Far,"Best of His Work so Far. This was easily the best of Gladwell's work so far. It really gets at the concepts of what helps people succeed. And, to a large extent, success is not something one is born with. A person shapes their future and their success through a mix of talent and lots of hard work. As an educator, I quote this book heavily with both staff and students.",2012-12-20,Estados Unidos
Amazon Customer,5,Excellent read.,Excellent read.. Great book! This book had some very great points and it was an enjoyable read.,2016-08-07,Estados Unidos
NB,5,Five Stars,Five Stars. Best book I've read in a really long time.,2017-11-09,Estados Unidos
cathy c,5,Great Wisdom,"Great Wisdom. One of the most thought provoking books of our time.  Important read for parents, leaders and educators.  Success is connected with hard work. Loved the true examples and thought provoking life stories.  True life is better than fiction! Must read!",2014-05-24,Estados Unidos
Larry Ling,5,A great read.,A great read.. Malcolm Gladwell is a visionary and sees life through a different lens.  Very interesting and compelling book.  A great read.,2016-07-21,Estados Unidos
Zaid Arroyos,5,Thought provoking,Thought provoking. Very in depth and it challenges your preconceived notions of success,2018-08-28,Estados Unidos
KC,5,Five Stars,Five Stars. Great Author!,2016-04-08,Estados Unidos
OvertimeCook,5,Possibly my favorite of Gladwell's books,"Possibly my favorite of Gladwell's books. This book was a phenomenal read - highly enjoyable, and it really made me think. Possibly my favorite of Gladwell's books.",2015-01-14,Estados Unidos
G Vandamm,5,Love anything written by Malcolm Gladwell,"Love anything written by Malcolm Gladwell. So interesting, wish the book was longer! I had borrowed this book from the library. Liked it so much, I ordered a copy for a friend.",2014-01-05,Estados Unidos
Mekenzi,5,Five Stars,"Five Stars. Great Read, had to for a class, but honestly it's a good read either way.",2015-12-31,Estados Unidos
Kevin Robb,5,Five Stars,"Five Stars. Delivered on time and as advertised, would purchase again.",2017-02-08,Estados Unidos
Sam S.,3,"Not bad, but not as engaging as Blink or Tipping Point","Not bad, but not as engaging as Blink or Tipping Point. I'm a fan of Gladwell's work, but this book did not grab me with the same intellectual hook as his prior two efforts.  The concept that it is a surprise that ""self-made"" people are a product of their times and the opportunities that were available to them is a bit silly.  Yes, Bill Gates had access to a powerful computer when he was 13, and yes, others mentioned are a product of their times and family background. Just doesn't seem that shocking to me.  The most interesting point the book made for me was one of birth timing and its impact on success in sports (and other things where a cutoff occurs).",2009-01-04,Estados Unidos
paula globerson,5,Five Stars,Five Stars. Best gift for any age person that’s looking to be successful in life and business,2018-01-13,Estados Unidos
finn,2,Outliers: The Story of Deceit,"Outliers: The Story of Deceit. This book was a novel I had to read for class. While I am one who believes success can be attained through hard work, there are other factors that play into success, such as talent. Gladwell tries to dispel this, but in the process places himself in a corner. He claims talent is a small pool, and then uses a small pool that are not talented to argue against. Unless it is an overwhelming majority, there is no basis for argument.",2016-09-21,Estados Unidos
Ida,5,Five Stars,Five Stars. Nice book,2016-09-07,Estados Unidos
Rick Heflin,5,Gladwell's goal is to make us think. I am ...,"Gladwell's goal is to make us think. I am .... Gladwell's goal is to make us think.  I am certainly thinking a lot more now, and appreciate his perspectives.  ""Freakonomics"" for real life......",2014-07-02,Estados Unidos
Donald A.  Baer,5,Useful,Useful. I liked the format used in approaching the reason for writing the book.,2013-09-01,Estados Unidos
Betz,5,Outliers is very enlightening,"Outliers is very enlightening. I've always been a fan of Malcolm Gladwell's books and articles,and this book is no exception. He always has a ""not so fast"" response to our preconceptions.",2013-08-15,Estados Unidos
sb2008,5,GOOD READ!,GOOD READ!. Book came on time and in a good condition. I loved reading this book! Author is a genius. It is about factors of success in America.Such an eye opener.,2013-09-05,Estados Unidos
Richard Dermody,5,If you want to know the real 'why' behind success ...,"If you want to know the real 'why' behind success .... If you want to know the real 'why' behind success, this is at least an essential piece of the answer.",2016-02-12,Estados Unidos
Peter Larsen,4,Surprisingly good..... .,Surprisingly good..... .. Interesting connections one wouldn't imagine are explained.,2013-08-07,Estados Unidos
Amazon Customer,5,Must read!,Must read!. Great insight in how successful people have made it to where they are! This books steps away from the self made man and introduces factors that shapes a successful person. It will definitely open different point of views!,2016-10-14,Estados Unidos
jgsilber,5,Eye Opening Insights into Factors Guiding Success,"Eye Opening Insights into Factors Guiding Success. This book is a true page-turner.  Many of the chapters tell interesting stories that explain why certain people or groups of people are successful at what they do.  However, there are some very practical sections too.  Scientific evidence showing that success cannot be achieved without extensive practice and that children should be taught to speak intelligently to authority figures are two of the best examples of why this book is a resource for practical applications.",2008-12-22,Estados Unidos
Dr. Lynn Lazarus Serper,5,Five Stars,"Five Stars. I appreciated the clarity, writing and research.",2017-12-16,Estados Unidos
S. Bowen,5,Great Book,Great Book. The condition said new and it absolutely is. Great book and I highly recommend reading it if you are thinking about it. Quick shipment and cheaper than the stores.,2013-09-13,Estados Unidos
Chris,5,I loved the book and thought is was an easy read,"I loved the book and thought is was an easy read. I loved the book and thought is was an easy read. Once I started the book it was hard to put down, and I am not a big reader.",2014-08-30,Estados Unidos
Frederico,5,Perspective Changing,"Perspective Changing. This book changed my way of perceiving the achievent of sucess and how talent is less important than we think for reaching it. Gladwell picked great and interesting examples to prove his argument. It's a delightful book and I'll surely recommend it to my friends, especially for the ones who are about to be parents. ""The 10000 hours rule"" made me think how important pratice and nurturing is important when you are raising your kid.",2014-02-10,Estados Unidos
JL,5,My sentiments are the same as above. I can't ...,My sentiments are the same as above. I can't .... My sentiments are the same as above. I can't wait for his next offering. I could not put down his book. He really makes you think  and see  things  from novel and different perspectives.,2015-04-29,Estados Unidos
Sue Ryan-Bohuslavizki,5,Five Stars,Five Stars. This is a book that should be required reading in high school. adults should read this as well.,2017-04-30,Estados Unidos
Ann W. Burrus,3,Interesting Ideas for an average reader,"Interesting Ideas for an average reader. While Gladwell brings up interesting theories about our inheritances, he does not actually prove anything and thus the book is more entertaining than scientific.",2013-07-19,Estados Unidos
Liliana Diaz,4,Outliers,Outliers. Interesting facts to keep in mind for having more opportunities in life. Specially that we can improve with our efforts,2018-01-08,Estados Unidos
Melanie Madeoy,5,Excellent gift for an 11th grader,Excellent gift for an 11th grader. A gift,2018-12-24,Estados Unidos
Amazon Customer,5,GREAT BOOK MUST READ,GREAT BOOK MUST READ. This book is an amazing read I don't read much but this is an amazing book that give you a new perspective  on how the people we see as successful got to where they are and the trues reasoniNguyen behind it  worth the buy amazing book highly recommended,2016-10-02,Estados Unidos
Quentin Williams,5,great,"great. New concepts, great stories",2018-05-02,Estados Unidos
K. KERR,5,Concepts that are intriguing and mind expanding,Concepts that are intriguing and mind expanding. Fascinating story as normal,2019-08-04,Estados Unidos
Amazon Customer,5,Best non-fiction,"Best non-fiction. This is the most entertaining nonfiction book I think I have ever read. It deals with what outside forces cause a person to become successful. Things like year of birth, nationality, supportive community, etc. I highly recommend this book to just about anyone.",2013-12-22,Estados Unidos
Penn,5,Five Stars,Five Stars. What a great read! Really fascinating.,2017-02-02,Estados Unidos
Paulamalu,5,Bought 3 more,"Bought 3 more. So good, interesting, informative and inspiring that I bought copies for my three (adult) kids.",2016-07-26,Estados Unidos
Steven Evens,5,Well written.,"Well written.. I find that Mr. Gladwell writes another enticing book. I actually spent an entire day reading all the way through his third book, and to no surprise, it was one of the best reads of 2008. I actually suggested the book to one of my teachers, and she now plans to a project with next year's students in conjunction with the book. She even went about purchasing all three of Mr. Gladwell's books. It is easy to say that Mr. Gladwell will be, if he is not already, one of the best writers of our generation.",2008-12-27,Estados Unidos
Adam P Sugarman,5,Should be required reading of every human being!,Should be required reading of every human being!. Should be required reading of every human being!,2015-01-14,Estados Unidos
Robert,5,One of the best!,One of the best!. Excellent tread! I had not thought of these reasons for success. Gladwells's writing style is enjoyable. Goes to show that timing and practice lead to proficiency in ones endeavors!,2013-09-12,Estados Unidos
Red 5,4,Food for thought,Food for thought. Interesting stories about what makes success (or failure)...and it isn't always what you think.,2015-09-29,Estados Unidos
M Bell,5,"Changing the way the world understands itself, one person at a time.","Changing the way the world understands itself, one person at a time.. Malcolm Gladwell has something important to say. He makes an elegant case, employs agreeable logic, and is a colorful story-teller. Even if you disagree with his primary arguments, you will surely enjoy the craft of his artisans' prose, and learn something new.",2013-02-11,Estados Unidos
jaimie,5,So amazing!,So amazing!. I am a 13 y/o and I had to write a book report for this book and ended up typing 1518 words!,2017-02-26,Estados Unidos
Wallstreet12,5,Great book on Success,Great book on Success. I always recommend this book to everyone that asks about it! I read it in two days.  Interesting and fun read with success stories!,2013-10-01,Estados Unidos
Winebyrd,3,Worth reading,Worth reading. Interesting read. Still haven't finished it because the book drags in some places.,2017-04-08,Estados Unidos
T. Henson,5,Amazing!,Amazing!. This book really opens your eyes to everything that truly goes into someone becoming extremely successful. It is very intriguing and entertaining.,2017-07-04,Estados Unidos
Tracy,4,Four Stars,"Four Stars. Very interesting book, food for thought!",2016-05-22,Estados Unidos
Logan Rackers,5,Can’t complain,Can’t complain. Great book and good quality.,2018-12-26,Estados Unidos
Grandma Corinne,5,Second Time I bought this book !!,"Second Time I bought this book !!. This is the Second time I have bought this book. The first book was borrowed from me before I even finished it..... it made its way thru the family and now is being passed around to friends. ""Outliers"" is marvelous, and I can well understand why it has stayed on the best seller list for so long. This book was my introduction to Malcolm Gladwell, and now I look for everything he writes. I will start reading this again, from the beginning, and with any luck will be able to finish it before someone borrows this copy, too !!",2010-08-22,Estados Unidos
Tony Brennan,4,Very interesting,Very interesting. Very interesting,2017-04-09,Estados Unidos
Sherry Gassaway,5,Should be on every bookshelf!,"Should be on every bookshelf!. Have bought this book several times; give it as gifts, so keep having to replace it on the bookshelf! A great read and a real eye-opener!",2015-01-17,Estados Unidos
Margarita Colon,5,book,book. Our son loved this book so I bought it with every intension to read it but have not read it yet!! But my 34 yr old son who is extremly successfull loved it!,2013-08-08,Estados Unidos
Henry L.,5,Five Stars,Five Stars. I really enjoyed this book.,2016-12-05,Estados Unidos
Amazon Customer,5,Excellent journalism. Another book I gave away and was ...,Excellent journalism. Another book I gave away and was .... Excellent journalism. Another book I gave away and was happy to add to my personal library again. I recommend Caldwell's OUTLIERS to everyone.,2016-01-22,Estados Unidos
Mark,5,Best book of the many books from Malcolm Gladwell,Best book of the many books from Malcolm Gladwell. This book is so good I was not able to put it down. I read it over the course of one weekend. That is not normally my reading pattern and I recommend it to anyone interested in human behavior.,2012-12-26,Estados Unidos
Lorraine Mckay,4,Four Stars,Four Stars. Interesting but a little slow.  Still working on it.,2016-04-25,Estados Unidos
Amazon Customer,5,Great read,Great read. Great book,2018-10-16,Estados Unidos
Amazon Customer,5,Outliers- an insightful perspective in those outside the box,"Outliers- an insightful perspective in those outside the box. Glad well provides not only insight, but intensive research into understanding outstanding achievement. This text provides lessons for all of us to benefit in our own development.",2015-09-09,Estados Unidos
Sharon Crew,5,So far excellent book. Easy to read but very intuitive into ...,So far excellent book. Easy to read but very intuitive into .... Haven’t finished it. So far excellent book. Easy to read but very intuitive into why some people become successes and others aren’t.,2017-10-27,Estados Unidos
Spectrum314k,1,Journalism and pseudoscience,"Journalism and pseudoscience. Having read lots of favourable reviews, I was extremely disappointed. The book essentially argues against the notion that people are born to succeed. If you believe that success is a bit more complicated than that, you may be in for a tedious time ahead as it laboriously tries to convince you against something you never thought in the first place. There is simply not enough here for a book and so the material is stretched out, presenting points that would be common sense to most people seemly expecting the result to be paradigm shifting revelations to the reader. It circles around the same points approaching from a variety of angles, while ignoring any counter arguments you feel should be addressed.",2017-11-12,Reino Unido
Stiven Skyrah,5,Salient and grounded,"Salient and grounded. ​Gladwell argues that success is tightly married to opportunity and time on task. He states that it takes approximately 10,000 hours to master something and that gives me comfort. It helps me feel better about my many failures at initial attempts to master things (like glazing pottery, algebra, Salsa dancing, skiing and sewing... to name a few). I kept thinking, ""I've just got to put in more hours if I want to do better.""",2018-03-03,Reino Unido
J C Mitchinson,3,Interesting enough but certainly no revelation,"Interesting enough but certainly no revelation. Basically, this book *reveals* that people don't gain success through talent and hard work alone; rather they have other, often hidden, advantages. These can be cultural, social, financial, and circumstantial. It also suggests that talent + advantages+ 10000 hours of practice = unusual success. This is demonstrated by a set of examples (The Beatles, Bill Gates etc).",2014-06-23,Reino Unido
Marty M,5,Fascinating and  thought-provoking,"Fascinating and  thought-provoking. It takes a special insight to uncover truths that have always been there, but never been identified. Gladwell brings together evidence - and hindsight - to show how the  most special of humans have been the  product of  their circumstances, opportunities and timing, which allied to hard work and talent makes people outliers. The lesson is that people can thrive only if given the  opportunity and resources to do so, and in an oblique way is a damning critique of the winner-takes-all culture in Western societies, and the enormous inequities of inherited wealth and privilege.",2019-01-17,Reino Unido
bobrayner,3,Enjoyable read but scientifically it makes me feel uneasy,"Enjoyable read but scientifically it makes me feel uneasy. I would like to put Gladwell in the same category as Jared Diamond - he writes books that take you on an enjoyable sweep through different places and eras and whole swathes of pop-anthropology but, deep down, I have to wonder *why* he picked a story about dental statistics in 1930s Luxembourg, or the rate of unexplained bus crashes in Peru versus Chile. I can never quite rule out a suspicion of cherry-picking. Which is uncomfortable, because I really *want* to believe these neat stories that let you in on a little secret that underpins whole swathes of the modern world.",2020-02-18,Reino Unido
Paul Walsh,5,"Wonderfully interesting, easy to read, amazing findings","Wonderfully interesting, easy to read, amazing findings. Brilliant book for exemplifying patterns in human behaviour. I am not reading it in order to look at improving the odds of success in life - not as a sociologist or psychologist.....and I find it very gripping and the evidence against the examples is brilliant. I take each chapter as a chapter of learning but the sort of learning which implants itself in your mind instead of needing to try and take it all in. It is written in a way that the knowledge provided naturally settles in your mind. Would highly recommend to anyone who is looking at success, improving odds, running a business, psychology, sociology",2018-09-01,Reino Unido
GoldenHen,2,Over-hyped Book with a Lack of Convincing Conclusions,"Over-hyped Book with a Lack of Convincing Conclusions. To be honest, I still don't get the point of this book. Chapter after chapter, the same statement is made, that success in life is more to do with where you come from than with anything else. So what? Are we supposed to become all defaitist about this now, as we cannot really influence our fate in life? As so often in american books of this type, it is dense in quoting from all sorts of random research, which makes it at times tiring to read. Anecdotes that may or may not be convincing provide for some more relaxed reading, but the author's conclusions (if any) are often not convincing. So the Chinese are better at maths because they have an easier system of naming their numbers? And why does that then all of a sudden apply to all Asians, even though not all Asian languages share the same feature?",2014-08-17,Reino Unido
tallmanbaby,4,one great read,"one great read. At heart this is a cracking set of essays around the theme of achieving excellence, and despite the technical basis and dry subject it manages to read like a thriller. The author also flatters and draws in the reader with well chosen examples.",2017-09-10,Reino Unido
Regan Cipher,4,Worth a read,"Worth a read. Malcolm Gladwell has a storytelling style that makes for compelling reading, albeit based around 'one big idea', in this instance 'grit'.",2022-03-05,Reino Unido
Tham Chee Wah,5,Wouldn’t it all boils down to one philosophy?,Wouldn’t it all boils down to one philosophy?. It’s a 5-star research work. That’s all.,2020-07-17,Reino Unido
Muirian,5,Extraordinary,Extraordinary. Every chapter should be read. Each one reveals interesting stories built from dissecting facts and discovering true causes.,2018-11-29,Reino Unido
IS,5,Interesting….,"Interesting….. First book I read from the author and I found his approach quite interesting. It is great that he doesn’t sugarcoat things. The key to success is……. well it’s down to main factors and this is what this book is about. I liked that it gives you a wider sense of what makes up success and his points were logical and pragmatic. There is not always an easy road as some of us may think, it takes quite a lot to be an outlier…Easy to read, he makes his points in a very grounded way. Will read more of his books for sure. This one was worth it!",2021-12-28,Reino Unido
Adam Morgan,1,"A great book if you believe it's pointless trying to excel in life, as the odds are against you","A great book if you believe it's pointless trying to excel in life, as the odds are against you. I never leave reviews, but this book is a travesty. I am blown away and confused over the positive reviews this book has received.",2022-01-27,Reino Unido
AM Brody,5,Compelling book which makes you reassess achievement,Compelling book which makes you reassess achievement. This is a wonderful book which looks deeply into people who have achieved huge success and analysis what was going on. He argues that the circumstances around these people have a lot to do with their success without diminishing the hard work and intelligence they brought to their subject.,2021-02-10,Reino Unido
@Timothy_Hughes,5,We can all be outliers and this book explains how!,"We can all be outliers and this book explains how!. What is an Outlier?  How do people become outstanding in their field?  Are the born with a skill?  Do you have to learn a skill?  Do you have to be born at the right time?  Or is being an Outlier, a number of steps of “luck”?  The Beatles, Bill Gates, happen to have a number of circumstances that accumulated to make sure they were in the right place at the right time.  Were they the brightest or the best?  As well as having skill and aptitude you also have to have the strength and presence of mind to seize them.  We can all be outliers and this book explains how!",2019-12-16,Reino Unido
Special,4,Malcolm Gladwell Always Seems To Get It Right,"Malcolm Gladwell Always Seems To Get It Right. I got this book on recommendation. I have read other Gladwell books so expected it to be a good read. It just confirms what most people think deep down, when opportunity meets hard work you win. Separately neither of these two things will guarantee you success.",2022-03-12,Reino Unido
Steve,4,I'd recommend this book as a great read for anyone,"I'd recommend this book as a great read for anyone. Compellingly and skillfully written. As someone who is around the same age as Bill Gates, yet missing the billions, I was deeply impressed by the material in the first half of this book. The author is adept at selling his ideas and I formed the impression that he had researched the examples extensively. Indeed, there are further details about his sources at the end. However, the second half seemed to drag a bit, for me (perhaps I was still depressed after reading the first half), but offered further support for the ideas presented in the first half. I'd recommend this book as a great read for anyone, and in particular for those who, like myself, may feel that they could have shone brighter, if only life had chosen them instead.",2017-10-01,Reino Unido
Spoda,5,Wonderful,"Wonderful. Bought this following a recommendation and loved it. It’s honestly one of the best books I’ve read. Interesting, intriguing and fascinating. The groups studied are varied and broad and the stories covered will allow you to glimpse ways that we are and aren’t responsible for our success. I couldn’t put it down. The chapter on Korean pilots was very moving in its detail and tragedy. Will read more of Mr Gladwell’s books as a result.",2019-09-03,Reino Unido
Expatista,4,"Should have been called ""Luck""","Should have been called ""Luck"". My most intellectual friends say Gladwell is criticised for his ""pop"" coverage of ideas that are normally the provenance of academics, but I like his readable, confident style. His books have become extremely influential; every American parent I know espouses some version of the ideas in The Tipping Point. This is another one to freak parents out: a book claiming that behind every great man and woman is a whole lot of being in the right place at the right time.",2014-12-23,Reino Unido
A. Davies,5,Food for thought,"Food for thought. Outliers is my book of the year so far. I know I'm late to the party, but it really made me think. I'd heard most of it's ideas before (partly because it's been so successful), but never expressed this clearly, and accessibly, and all together.",2018-11-10,Reino Unido
alex,5,Essential reading,Essential reading. Everyone need to read this book.,2021-09-05,Reino Unido
Diana Prince,5,Epic,"Epic. Excellent book. Particularly recommended for teenagers (and their parents) who wonder why they might be under-performing or what they will end up doing with their life. It is full of 'A ha"" moments  When I first started reading it I wasn't enthralled but as the author started to show connections and underlying situations that build up to success, I was  really impressed.",2019-03-31,Reino Unido
daud bhatti,5,Not what I expected but a great read!,"Not what I expected but a great read!. I was expecting a self help book on trying to be sucessful. No dont be mislead this is a book not telling you have success in your own control but rather the opposite. Its still a great book, that is written amazingly with some really relevant and interesting examples. The chapter on Bill Gates is a story I have found myself telling others about",2021-04-23,Reino Unido
Laurence,4,Well written and some good examples but I'm not sure how balanced this is,"Well written and some good examples but I'm not sure how balanced this is. This has some good stories to illustrate the points and I enjoyed it. I'm not sure how balanced it is - everything is presented as fact when I feel that there should be a counter view.  As other reviewers have said, at its heart this is something you could get across in perhaps 20 pages.  It's testament to the author that he keeps you reading and engaged with many more pages than that.",2019-09-17,Reino Unido
Cols,4,A good book,"A good book. A better read than i thought it would be.  I purchased this as the kindle daily deal and thought it might be ok but not that good, but i was wrong. It's a great book and i enjoyed it a lot.  Some great arguments on why people achieve success, hard work obviously, but luck and circumstances also key factors, as explained in book.",2017-06-19,Reino Unido
chris omoko,5,Not what I expected,Not what I expected. I had seen this title recommended by a few sources and thought I should give it a try.,2020-04-09,Reino Unido
Álvaro Nieto,5,"I definitely recommend it, it makes you at least consider if ...","I definitely recommend it, it makes you at least consider if .... Although the author Tries to make you look twice at what you thought were life's predestinations, it does so by choosing very precise close space situations and drawing conclusions from them. I would normally say it is dangerous to draw a universal law of things from such a finite number of observations.",2017-11-08,Reino Unido
Mike Brady,5,"Much more than 10,000 hours","Much more than 10,000 hours. I came to this book for it popularising the 10,000 hour theory - some say over-simplifying. I was surprised and then delighted to find that is just one reference in a book drawing together many insightful ideas to unpick the myths of what makes someone successful. The 10,000 hours theory gives us hope that any one of us can become an outlier, a success in a chosen field. But as Malcolm Gladwell reveals, there are other factors, many beyond our control, which should keep us humble if successful and tolerant of those who missed out. I look forward to reading his other books.",2021-10-09,Reino Unido
Old Running Dude,5,Really interesting book about how luck & hard work plays a key part in success,Really interesting book about how luck & hard work plays a key part in success. I found that I couldn't put this book down.,2018-07-13,Reino Unido
Stephen George,4,Enjoyable read,Enjoyable read. Having read reviews for and against the book I thought I would read it - especially as it was a Kindle special. It's an easy read and although a little repetitive I did enjoy it and do think he makes some good points. In the end it's probably a little too simplistic in its conclusions but that doesn't spoil it as a good book.,2017-07-27,Reino Unido
Stephen Smith,5,Jam-packed with interesting anecdotes,"Jam-packed with interesting anecdotes. This book is full of interesting stuff: From why one rural community in the US had amazing health to how plane crashes happen. It's main aim is to show the accidental or environmental factors that have been a major contributor to the success of certain people or groups of people. My only warning to the reader is not to believe success just comes down to luck. Even without the type of lucky circumstances Malcolm Gladwell writes about, there are still plenty of people who achieve success through belief and perseverance. (Try also reading Mindset by Carol Dweck.)",2020-02-05,Reino Unido
Amazon Customer,4,Interesting and thought provoking,Interesting and thought provoking. Pulling together multiple strands of experience and narrative into a single whole is done well. I certainly hadn't quite realised the extent to which our dates of birth affect life chances of individuals.,2018-09-24,Reino Unido
Jyldyz Re,2,A bit boring,"A bit boring. I bought this book for my middle son to read together as it was recommended to me as inspirational book. To be honest  it’s a bit boring and author goes around same subject again and again. We stoped reading midway through. I don’t know may be it is a matter of taste, but we didn’t like it.",2019-05-16,Reino Unido
TC,5,Amazing,"Amazing. The best book I have ever read. Such an amazing mix of humour, adventure and life. Interesting from the first word",2019-09-08,Reino Unido
Chris Senior,5,Why are great people great? They take the opportunities given,Why are great people great? They take the opportunities given. Great book. Easy read. Hits home his point again and again and gives many case studies of “success”.,2018-02-04,Reino Unido
Akhil B,3,Not as I had thought,Not as I had thought. The book gives good info but stories have too much of unnecessary details which I personally never liked in non-fiction. I picked this book because I wanted to know what makes outliers an outlier in their field which I eventually got but I had to read a lot many details in between. I understand to make a book like this interesting some details must be their but too much of it makes me uncomfortable. It’s a personal choice and others might find this interesting.,2020-05-17,Reino Unido
Bargain Betty,5,Fantastic (but don't read it before a flight),"Fantastic (but don't read it before a flight). The author has that unique skill of being able to view and interpret the World exactly as it is, not tinted by any preconceptions or expectations. His 10,000 hr rule, from my personal experience, is bang on. I found this book was similar in vein to Freakonomics which I also recommend, and Tipping Point has also been on my list for a while so I will definitely be reading that sometime soon.",2015-10-27,Reino Unido
giovanni,5,Will make you question who you are,"Will make you question who you are. This book will make you question who you are - where you come from, what's your legacy, and what helped you accomplish whathever you've achieved so far in your life. It will also make you ask, do I have 10,000 hours of experience in something so far? Recommended read.",2019-09-05,Reino Unido
C. Brown-quinn,4,Thinking Differently about Successful People,"Thinking Differently about Successful People. I found Malcolm Gladwell's presentation of the subject of success fascinating! He incorporated a lot of interesting research to back up his arguments about why successful people are successful. I recommend this book to anyone interested in stretching their minds past commonly held beliefs. I still maintain, however, that regardless of the circumstances you find yourself in, success isn't given even if you're offered an opportunity - you've got to take that opportunity and that's what makes successful people successful. Others have been offered opportunities, but they don't go for it. Also I would have like to have seen more stories about female success stories. Christine Brown-Quinn,The Female Capitalist (TM), Author of Step Aside Super Woman...Career & Family is for Any Woman.",2011-01-24,Reino Unido
Zaida Prieto,5,WOULD RECOMMEND,WOULD RECOMMEND. Very interesting and entertaining at the same time... I am liking this author a lot. Very well written and easy reading. It opens the readers eyes to a totally different point of view about success and society... WOULD RECOMMEND,2017-12-01,Reino Unido
James White,5,Fascinating,"Fascinating. I loved this book. At first there appear to be lots of statistics and facts but this quickly emerges as an overall theme which underpins the development of understanding generally, the ingredients which can lead to success.",2020-11-19,Reino Unido
J. Trompetas,4,It started strongly then rambled a bit,It started strongly then rambled a bit. The insights in the first part of the book about reasons for outliers were amazing but it probably would have been a better book if it had been shorter. Some of the later chapters weren’t as interesting.,2022-03-12,Reino Unido
Breese Stevens,5,An honest look at success.,"An honest look at success.. I have hope that even this late in the game of life I can forge a path to great success. This book has helped me understand that my background plays a key role in why I feel I have struggled with success as an entrepreneur. I feel inspired to collect data based on my own life, study the patterns, and give myself the chances that were absent from my familial and cultural legacies. Thank you, Malcolm Gladwell, for this meaningful gift.",2021-02-05,Reino Unido
John Mccutcheon,4,Four and a half stars,"Four and a half stars. A good book that reveals how success is more related to history and circumstance than it might at first seem,especially in cases of success that are often put down to genius.",2020-12-01,Reino Unido
Alister Cryan,4,Fascinating,"Fascinating. I enjoyed reading this book and it's study of the ""self made man""/genius myth very much.  A fascinating insight drawn from the author's personal experience and background.",2020-05-31,Reino Unido
Rosshn,5,⭐⭐⭐⭐⭐,"⭐⭐⭐⭐⭐. Easy to read book, well researched and a page turner. Uses world class examples that everyone can relate to and people who we all know.  Absolutely love it! I particularly liked all the research that went into it without it being too high brow a book. 💯",2018-05-27,Reino Unido
Working Mum,5,Good to know information,"Good to know information. Well written and made me feel better about myself for not being an ultra rich genius, just an ordinary person. Comparison is the thief of joy.",2020-07-19,Reino Unido
Ameen Hach,4,Great for inspiration and stories but lacks practical steps forward.,"Great for inspiration and stories but lacks practical steps forward.. Excellent, very insightful. I love the stories and the examples he gives. A lot of general, and inspirational knowledge to be found here and it's written well.",2016-02-11,Reino Unido
femi awos,5,A must read,A must read. A must read for anyone who is trying to achieve something great in life or trying to teach others. There is no substitute for long hard work in whatever field you choose.,2020-03-07,Reino Unido
Roger P,5,Read This,Read This. Absolutely brilliant and informative. No need to say more other than read it for yourself . Very well written and laid out,2019-10-05,Reino Unido
P,5,Gladwell always a must read,Gladwell always a must read. Very easy reading and brings together all the those things you could see but couldn't quite put your finger on.,2020-02-18,Reino Unido
Mike,5,An easy read with lots of anecdotes/stats that you will be ...,An easy read with lots of anecdotes/stats that you will be .... Really interesting pop psychology/sociology. An easy read with lots of anecdotes/stats that you will be regurgitating down the pub later.,2018-05-01,Reino Unido
Renee,5,Impossible to put down,"Impossible to put down. I highly recommend this book its such an eye opener, its hard to pin point which part is the best. You will enjoy every page.",2020-02-02,Reino Unido
DarraghD,3,Enjoyable read if a bit prosaic,"Enjoyable read if a bit prosaic. Outliers is certainly an enjoyable read that does entertain but at the end of the day the argument Gladwell puts forward is a bit on the prosaic side and is made a bit redundant at certain points. He posits some intriguing, although hardly revolutionary, concepts about the requirements for success and then reinforces them with a string of anecdotes. Although arguably one could not say that his argument is flawed or the idea he is promoting erroneous the sheer volume of statistics and anecdotes he provides in support of his thesis does not so much prove his theory as highlight how ultimately simplistic and unoriginal it really is.",2013-05-28,Reino Unido
Amazon Customer,5,Brilliant!,Brilliant!. An interesting account of some of the world greatest and those outliners that may be less known. The book was gripping from start to finish.,2017-10-14,Reino Unido
Mr DJ Mattingley,5,Great read.,"Great read.. This was an interesting book, that grabbed me from the first line.  Gladwell provides logical reasoning and sense behind his ""theory / arguments"".  Being that I work for one of the outliers he describes in this book (which I did not know prior to reading) this made it all the more interesting.  What Gladwell basically describes in this book is that intelligence is not a precursor to success, however chance, effort and other variables will help you along your way.  Worth a read and I have gone on to buy the rest of Gladwells books.",2014-07-19,Reino Unido
Roger B,4,A very thought provoking read!,A very thought provoking read!. This book was recommended to me by an education professional and although the book is several years old it has significant relevance today. Some sections were extremely interesting indeed and whilst understanding what Gladwell is trying to convey some sections were a little 'long winded' and 'too American' for my specific interest needs.,2014-11-21,Reino Unido
